Model,stability_RAPS,stability_RAPS_std,stability_PCP,stability_PCP_std
ResNet18,0.01882705032855848,0.0036814233358550023,12.077012624025535,0.0602315067370064
ResNet50,0.06617296540128756,0.0167513588835188,11.863475463920377,0.05696989122235229
ResNet101,0.0082819969858769,0.003753418885940301,11.928681790579535,0.08934110766933659
ResNet152,0.19239653267453954,0.0015516211355057442,11.910296896726644,0.05835198392561623
ResNeXt101,0.2029116478092538,0.00017172760514946493,11.892510621954994,0.08322317194480494
VGG16,0.10854233381326213,0.03014032383271189,11.995997811690776,0.06055313188157823
ShuffleNet,0.029866084102701328,0.02545507986848815,12.083856819788846,0.05453659695477397
Inception,0.07355273366523932,0.010007918716548263,12.193636966901257,0.08046137426693944
DenseNet161,0.02513992972676468,0.006378771331824312,11.903853720706678,0.057354677062912286
