model_name,alpha,num_calib,num_val,num_seeds,pcp_prob,pt_bias,pt_index_range,smoothed_p_values,randomized_tau,max_eval_samples,live_line_progress,dataset_dir,avg_RAPS_S,std_RAPS_S,avg_RAPS_N,std_RAPS_N,avg_RAPS_U,std_RAPS_U,avg_RAPS_F,std_RAPS_F,avg_RAPS_M,std_RAPS_M,avg_RAPS_E,std_RAPS_E,avg_RAPS_OU,std_RAPS_OU,avg_RAPS_OF,std_RAPS_OF,avg_RAPS_OM,std_RAPS_OM,avg_RAPS_OE,std_RAPS_OE,avg_PT_RAPS_S,std_PT_RAPS_S,avg_PT_RAPS_N,std_PT_RAPS_N,avg_PT_RAPS_U,std_PT_RAPS_U,avg_PT_RAPS_F,std_PT_RAPS_F,avg_PT_RAPS_M,std_PT_RAPS_M,avg_PT_RAPS_E,std_PT_RAPS_E,avg_PT_RAPS_OU,std_PT_RAPS_OU,avg_PT_RAPS_OF,std_PT_RAPS_OF,avg_PT_RAPS_OM,std_PT_RAPS_OM,avg_PT_RAPS_OE,std_PT_RAPS_OE,avg_RAPS_true_p,avg_PT_RAPS_true_p
ResNet50,0.1,10000,,5,0.95,40,300,True,False,,True,/root/CP/classification_task/imagenet_val,212.77336093080504,1.0375676272524834,302.068975,0.059605045927329875,0.9398453935676828,0.0007730455159120107,211.8182179181245,1.0370926681670298,1.0,0.0,301.068975,0.059605045927329875,0.945890888253963,0.0006011850371563792,212.3663914326146,1.0318898243311396,1.0,0.0,301.17429000000004,0.05688138667438202,239.47855365648184,0.8163551479114359,290.166995,0.27487844922801213,0.8955773925369135,0.0007936406329157386,238.56917871917238,0.8163369454735809,0.9498049999999999,0.0006836300168950969,289.21719,0.2752435133658913,0.9010270288873347,0.0007278058050460677,239.0639984492782,0.8127320664500446,0.9498049999999999,0.0006836300168950969,289.26721,0.2723018525460118,0.4069694981903772,0.4145552072037443
ResNet101,0.1,10000,,5,0.95,40,300,True,False,,True,/root/CP/classification_task/imagenet_val,212.54620283902392,0.761947358084968,301.959785,0.06862248647490235,0.9414985024637026,0.0009575019388483602,211.59003036793396,0.7619480842348318,1.0,0.0,300.959785,0.06862248647490235,0.9468090882040483,0.0008676566870076498,212.1195070667879,0.7610737991742405,1.0,0.0,301.06002,0.06723316778197452,239.27361942624663,0.568048943203582,289.444575,0.3199240577855814,0.8970677976194159,0.0010596672241986057,238.363311507262,0.56850723297551,0.9498049999999999,0.0006836300168950969,288.49476999999996,0.3197204514884708,0.9018545362754166,0.0010141020532017007,238.8412462152793,0.5676671689203578,0.9498049999999999,0.0006836300168950969,288.544395,0.3173557996949096,0.4266957722360728,0.4323732109672832
ResNet152,0.1,10000,,5,0.95,40,300,True,False,,True,/root/CP/classification_task/imagenet_val,212.47940190234695,0.8181512323651471,301.46554000000003,0.1377651140528616,0.9413266971373991,0.001416493358285363,211.52351051831192,0.8177473693505971,1.0,0.0,300.46554000000003,0.1377651140528616,0.9463345515288266,0.0012193025678866561,212.06223352676233,0.8194386795558612,1.0,0.0,300.578515,0.12603485093417363,239.21336900375204,0.6112068093371265,288.93177000000003,0.31692122578017407,0.8969290400265664,0.0011612012766588815,238.3033130780832,0.6113395110256205,0.9498049999999999,0.0006836300168950969,287.98196500000006,0.3162722895702461,0.9014441451340325,0.001023907453025184,238.78967859351513,0.6121840723453047,0.9498049999999999,0.0006836300168950969,288.03208000000006,0.3149208259229676,0.4171683755845395,0.42369041023683485
ResNeXt101,0.1,10000,,5,0.95,40,300,True,False,,True,/root/CP/classification_task/imagenet_val,209.13666253378724,0.5255583805929082,301.40077500000007,0.03938090908042359,0.9437738555986627,0.0009698538175054152,208.18067081192802,0.5253615339313495,1.0,0.0,300.40077500000007,0.03938090908042359,0.9473382016946943,0.0008915235641658175,208.7178558566818,0.5257346380926695,1.0,0.0,300.51044,0.035263715771316054,236.19755714490566,0.4615550490674853,288.45601999999997,0.3592657924155807,0.8991348043263112,0.0008211400106099163,235.28741256777465,0.46142390943283706,0.9498049999999999,0.0006836300168950969,287.506215,0.3588192207086942,0.9023425730831718,0.0007922499030564124,235.77228943752158,0.46250187311788005,0.9498049999999999,0.0006836300168950969,287.556595,0.3568117435707511,0.4188066771053756,0.42526770738407665
VGG16,0.1,10000,,5,0.95,40,300,True,False,,True,/root/CP/classification_task/imagenet_val,210.64482563076461,1.291244736187891,303.26149999999996,0.14500475854260794,0.9278623878014743,0.00124052750157911,209.69634627038766,1.2908519494287514,1.0,0.0,302.26149999999996,0.14500475854260794,0.9396633895607358,0.0009609714871789672,210.18726086197404,1.2927125168254154,1.0,0.0,302.36098499999997,0.1410815319239043,237.55752038637655,1.0433958874182356,293.19933499999996,0.5863849551702326,0.884724344736818,0.0007570516118177738,236.6541826033597,1.0435672752764744,0.9498049999999999,0.0006836300168950969,292.24953000000005,0.5861969354235745,0.8953856299899174,0.0006023616314674309,237.09726571820337,1.0458254233129716,0.9498049999999999,0.0006836300168950969,292.29963000000004,0.5838493849872499,0.45756476879050556,0.4602546681730841
ShuffleNet,0.1,10000,,5,0.95,40,300,True,False,,True,/root/CP/classification_task/imagenet_val,216.70043714332678,0.8174205754458695,304.0245,0.04702753714582348,0.9430040264547757,0.0010092632258991536,215.74480893074474,0.8173577205180406,1.0,0.0,303.0245,0.04702753714582348,0.9489126560131913,0.0008781168852978584,216.29365155284395,0.8113274989327931,1.0,0.0,303.12717499999997,0.04574029951805245,243.02218808263564,0.6537300182323683,295.73891000000003,0.28060811000397284,0.898385651022069,0.0009575636493886402,242.11241353811369,0.6540022556049655,0.9498049999999999,0.0006836300168950969,294.789105,0.28096168795764076,0.9037189620297269,0.0008823459361321852,242.6078039526438,0.6506742996508589,0.9498049999999999,0.0006836300168950969,294.84106499999996,0.27959439130641417,0.40678559048273294,0.41438412999186836
Inception,0.1,10000,,5,0.95,40,300,True,False,,True,/root/CP/classification_task/imagenet_val,217.3212222660324,0.8498673338352017,304.0883,0.03267530795569162,0.9472785960660609,0.000910088564583698,216.36284333511134,0.8492243089376734,1.0,0.0,303.0883,0.03267530795569162,0.9508379475839005,0.000846109659750633,216.90244190390112,0.8487334982321322,1.0,0.0,303.18775500000004,0.03127327693095607,243.5832950135747,0.7284391086601821,297.24238,0.7611494205147964,0.9022887400254342,0.0009256894553590957,242.67099243104258,0.7279456567167905,0.9498049999999999,0.0006836300168950969,296.292575,0.7606999853753214,0.9054979481617244,0.0008949366734591191,243.15807783446212,0.7277893573021709,0.9498049999999999,0.0006836300168950969,296.341975,0.7589873277927731,0.41878036213125414,0.4252171791124342
DenseNet161,0.1,10000,,5,0.95,40,300,True,False,,True,/root/CP/classification_task/imagenet_val,212.14513302674717,0.9433645128363622,302.01546499999995,0.016243688004879055,0.9414236498765358,0.0013635720009207203,211.18942678733643,0.9428019802350367,1.0,0.0,301.01546499999995,0.016243688004879055,0.9466717544707677,0.0011587720336869948,211.72140655622766,0.9446926777042909,1.0,0.0,301.11460999999997,0.0152504311414415,238.91173195221,0.7479049609242859,289.260005,0.5272296590196625,0.8969992628164846,0.0011682490581619543,238.00184979937154,0.7477760465583488,0.9498049999999999,0.0006836300168950969,288.3102,0.5267061574065625,0.9017348431765809,0.0010355102236946525,238.48209518765003,0.7492302623414387,0.9498049999999999,0.0006836300168950969,288.361195,0.5239839910245311,0.4237264705195297,0.4296367645600309
